"grav";"catv";"sexe";"an_nais";"trajet";"voiture";"PL";"moto";"jour";"mois";"lum";"dep";"com";"agg";"casque";"gilet"
4;1;2;1955;5;1;0;0;28;9;1;"2B";"2B298";2;1;0
4;1;1;1959;5;1;0;0;31;12;1;"88";"88068";2;1;0
3;1;1;1952;5;1;0;0;11;9;1;"84";"84072";1;1;0
3;1;1;1971;5;1;0;0;28;8;1;"84";"84030";2;1;0
4;80;2;2006;5;1;0;0;10;2;1;"35";"35055";2;1;0
4;1;2;1989;5;1;0;0;10;2;1;"33";"33063";2;1;0
4;1;2;1968;5;1;0;0;10;2;1;"14";"14118";2;1;1
3;1;1;1999;5;0;0;0;10;2;3;"75";"75117";2;0;0
4;1;1;1991;1;1;0;0;10;2;3;"75";"75108";2;1;0
3;1;1;1941;5;1;0;0;8;11;1;"43";"43012";2;1;0
4;1;1;1973;1;1;0;0;9;2;2;"92";"92004";2;0;0
4;1;1;1960;5;1;0;0;16;12;1;"38";"38544";2;1;0
4;1;1;1962;5;0;0;0;15;11;2;"38";"38516";2;0;0
2;1;1;1946;5;0;0;0;11;2;1;"56";"56034";1;1;0
3;1;2;1956;5;1;0;0;6;11;1;"32";"32319";2;0;0
3;1;2;1959;9;1;0;0;29;11;1;"34";"34108";2;1;0
4;1;1;2004;0;1;0;0;6;12;3;"35";"35281";2;0;0
2;1;1;1987;4;0;1;0;9;2;1;"69";"69387";2;0;0
3;1;1;1961;5;1;0;0;25;10;1;"81";"81002";1;1;0
4;1;1;1998;1;1;0;0;9;2;3;"72";"72181";2;1;0
4;1;1;2004;4;1;0;0;8;2;3;"72";"72181";2;1;1
4;1;1;1961;0;0;0;0;8;2;1;"71";"71076";2;1;0
3;1;1;1950;0;0;1;0;8;2;1;"69";"69029";2;0;0
3;1;2;1993;9;1;0;0;9;2;1;"67";"67482";2;0;0
4;1;1;1976;1;1;0;0;9;2;1;"67";"67482";2;0;0
4;80;1;1994;4;1;0;0;9;2;1;"56";"56098";2;1;0
4;1;1;1983;1;1;0;0;9;2;3;"45";"45284";2;1;1
4;1;1;2020;0;1;0;0;5;6;1;"77";"77085";2;1;0
4;1;1;1980;5;0;0;0;3;2;1;"43";"43046";2;1;0
4;80;2;1949;9;1;0;0;6;6;1;"64";"64269";2;0;0
4;1;1;1963;5;1;0;0;6;6;1;"64";"64284";2;1;0
3;1;2;1941;5;1;0;0;20;9;1;"33";"33382";2;1;0
3;1;2;2015;5;1;0;0;23;10;1;"49";"49301";1;0;0
3;1;1;1967;5;1;0;0;5;6;1;"64";"64102";2;1;0
